index,rain,temp
1/30/2022 1:45,3.5,9.83
1/30/2022 1:50,3.5,9.79
1/30/2022 1:55,2.9,9.79
1/30/2022 2:00,2.9,9.83
1/30/2022 2:05,2.9,9.87
1/30/2022 2:10,2.9,9.95
1/30/2022 2:15,2.9,9.87
1/30/2022 2:20,2.9,9.87
1/30/2022 2:25,2.9,9.83
1/30/2022 2:30,2.9,9.72
1/30/2022 2:35,2.9,9.68
1/30/2022 2:40,2.9,9.72
1/30/2022 2:45,2.9,9.68
1/30/2022 2:50,2.9,9.79
1/30/2022 2:55,2.9,9.6
1/30/2022 3:00,2.9,9.52
1/30/2022 3:05,2.9,9.41
1/30/2022 3:10,2.9,9.41
1/30/2022 3:15,2.9,9.52
1/30/2022 3:20,2.4,9.79
1/30/2022 3:25,2.9,9.91
1/30/2022 3:30,2.9,10.26
1/30/2022 3:35,2.4,10.53
1/30/2022 3:40,2.4,10.72
1/30/2022 3:45,2.4,10.68
1/30/2022 3:50,2.4,10.72
1/30/2022 3:55,2.4,10.57
1/30/2022 4:00,2.4,10.57
1/30/2022 4:05,2.4,10.57
1/30/2022 4:10,2.4,10.3
1/30/2022 4:15,2.4,9.99
1/30/2022 4:20,2.4,9.72
1/30/2022 4:25,2.4,9.56
1/30/2022 4:30,2.4,9.52
1/30/2022 4:35,2.4,9.49
1/30/2022 4:40,2.4,9.33
1/30/2022 4:45,2.4,9.33
1/30/2022 4:50,2.4,9.21
1/30/2022 4:55,2.4,9.06
1/30/2022 5:00,2.4,9.02
1/30/2022 5:05,2.4,8.75
1/30/2022 5:10,2.4,8.71
1/30/2022 5:15,2.4,8.64
1/30/2022 5:20,2.4,8.52
1/30/2022 5:25,2.4,8.52
1/30/2022 5:30,2.4,8.37
1/30/2022 5:35,2.4,8.21
1/30/2022 5:40,2.4,8.13
1/30/2022 5:45,2.4,8.02
1/30/2022 5:50,2.4,7.71
1/30/2022 5:55,2.4,7.59
1/30/2022 6:00,1.8,7.17
1/30/2022 6:05,1.8,6.9
1/30/2022 6:10,1.8,6.71
1/30/2022 6:15,1.8,6.51
1/30/2022 6:20,2.4,6.63
1/30/2022 6:25,1.8,6.59
1/30/2022 6:30,1.8,6.55
1/30/2022 6:35,1.8,6.43
1/30/2022 6:40,1.8,6.43
1/30/2022 6:45,1.8,6.43
1/30/2022 6:50,2.4,6.2
1/30/2022 6:55,1.8,6.28
1/30/2022 7:00,1.8,6.13
1/30/2022 7:05,1.8,5.78
1/30/2022 7:10,1.8,5.82
1/30/2022 7:15,1.8,5.97
1/30/2022 7:20,1.8,5.93
1/30/2022 7:25,1.8,5.7
1/30/2022 7:30,1.8,5.66
1/30/2022 7:35,1.8,5.59
1/30/2022 7:40,1.8,5.43
1/30/2022 7:45,1.8,5.32
1/30/2022 7:50,1.8,5.16
1/30/2022 7:55,1.8,4.85
1/30/2022 8:00,1.8,5.08
1/30/2022 8:05,1.8,4.97
1/30/2022 8:10,1.8,4.85
1/30/2022 8:15,1.8,4.66
1/30/2022 8:20,1.8,4.47
1/30/2022 8:25,1.8,4.31
1/30/2022 8:30,1.8,3.85
1/30/2022 8:35,1.8,3.81
1/30/2022 8:40,1.8,3.93
1/30/2022 8:45,1.8,3.58
1/30/2022 8:50,1.8,3.42
1/30/2022 8:55,1.8,3.23
1/30/2022 9:00,1.8,3.5
1/30/2022 9:05,1.8,3.19
1/30/2022 9:10,1.8,3.54
1/30/2022 9:15,1.8,3.66
1/30/2022 9:20,1.8,3.77
1/30/2022 9:25,1.8,3.73
1/30/2022 9:30,1.8,3.93
1/30/2022 9:35,1.8,4
1/30/2022 9:40,1.8,3.96
1/30/2022 9:45,1.8,3.62
1/30/2022 9:50,1.8,3.69
1/30/2022 9:55,1.8,3.35
1/30/2022 10:00,1.8,2.81
1/30/2022 10:05,1.8,2.88
1/30/2022 10:10,1.8,2.84
1/30/2022 10:15,1.8,2.3
1/30/2022 10:20,1.8,1.57
1/30/2022 10:25,1.8,1.15
1/30/2022 10:30,2.4,0.99
1/30/2022 10:35,2.4,1.22
1/30/2022 10:40,1.8,1.42
1/30/2022 10:45,2.4,1.88
1/30/2022 10:50,1.8,1.92
1/30/2022 10:55,2.4,1.38
1/30/2022 11:00,1.8,1.53
1/30/2022 11:05,2.4,1.57
1/30/2022 11:10,2.4,1.65
1/30/2022 11:15,1.8,1.49
1/30/2022 11:20,2.4,1.07
1/30/2022 11:25,2.4,1.18
1/30/2022 11:30,1.8,1.22
1/30/2022 11:35,1.8,1.3
1/30/2022 11:40,1.8,1.76
