"Plot Title: OrchardWatch-South"
"#","Date Time, GMT-04:00","Temperature, °F (LGR S/N: 20777720, SEN S/N: 20777720, LBL: OrchardWatch-North air)","Temperature, *F (LGR S/N: 20777720, SEN S/N: 20777720, LBL: OrchardWatch-North E-air)","Wetness, % (LGR S/N: 20777720, SEN S/N: 20777720, LBL: OrchardWatch-North E-leaf)","Temperature, *F (LGR S/N: 20777720, SEN S/N: 20777720, LBL: OrchardWatch-North M-air)","Wetness, % (LGR S/N: 20777720, SEN S/N: 20777720, LBL: OrchardWatch-North M-leaf)","Wetness, % (LGR S/N: 20777720, SEN S/N: 20777720, LBL: OrchardWatch-North OW-N leaf)","Temperature, *F (LGR S/N: 20777720, SEN S/N: 20777720, LBL: OrchardWatch-North X-air)","Wetness, % (LGR S/N: 20777720, SEN S/N: 20777720, LBL: OrchardWatch-North X-leaf)","Wetness, % (LGR S/N: 20699245, SEN S/N: 20699245, LBL: OrchardWatch-South)","Wetness, % (LGR S/N: 20699245, SEN S/N: 20699245, LBL: OrchardWatch-South A11)","Temperature, *F (LGR S/N: 20699245, SEN S/N: 20699245, LBL: OrchardWatch-South A11)","Temperature, *F (LGR S/N: 20699245, SEN S/N: 20699245, LBL: OrchardWatch-South A16)","Wetness, % (LGR S/N: 20699245, SEN S/N: 20699245, LBL: OrchardWatch-South A16)","Temperature, °F (LGR S/N: 20699245, SEN S/N: 20699245, LBL: OrchardWatch-South air @ 6 feet)","Wetness, % (LGR S/N: 20699245, SEN S/N: 20699245, LBL: OrchardWatch-South B3b)","Temperature, *F (LGR S/N: 20699245, SEN S/N: 20699245, LBL: OrchardWatch-South G)","Wetness, % (LGR S/N: 20699245, SEN S/N: 20699245, LBL: OrchardWatch-South G)","Temperature, *F (LGR S/N: 20699245, SEN S/N: 20699245, LBL: OrchardWatch-South Y)","Wetness, % (LGR S/N: 20699245, SEN S/N: 20699245, LBL: OrchardWatch-South Y)"
1,05/23/22 01:40:00 AM,62.830,62.460000,,61.920000,,,62.380000,,,,,62.920000,,63.220,,62.960000,,62.500000,
2,05/23/22 01:45:00 AM,62.580,62.300000,100.000000,61.840000,100.000000,100.000000,62.070000,100.000000,100.000000,100.000000,62.070000,62.690000,100.000000,62.920,100.000000,62.650000,100.000000,62.340000,100.000000
3,05/23/22 01:50:00 AM,62.360,62.110000,100.000000,61.690000,100.000000,100.000000,61.840000,100.000000,100.000000,100.000000,61.880000,62.500000,55.900000,62.790,100.000000,62.460000,100.000000,62.270000,100.000000
4,05/23/22 01:55:00 AM,62.280,62.030000,100.000000,61.570000,100.000000,100.000000,61.690000,100.000000,100.000000,100.000000,61.840000,62.460000,48.800000,62.580,100.000000,62.340000,100.000000,62.190000,100.000000
5,05/23/22 02:00:00 AM,62.230,61.960000,100.000000,61.570000,100.000000,100.000000,61.570000,100.000000,100.000000,100.000000,61.720000,62.380000,50.000000,62.580,100.000000,62.300000,100.000000,62.000000,100.000000
6,05/23/22 02:05:00 AM,62.020,61.960000,100.000000,61.490000,100.000000,100.000000,61.380000,100.000000,100.000000,100.000000,61.610000,62.300000,59.400000,62.400,100.000000,62.230000,100.000000,61.920000,100.000000
7,05/23/22 02:10:00 AM,61.980,61.840000,100.000000,61.420000,100.000000,100.000000,61.420000,100.000000,100.000000,100.000000,61.530000,62.190000,61.200000,62.320,100.000000,62.070000,100.000000,61.840000,100.000000
8,05/23/22 02:15:00 AM,61.760,61.690000,100.000000,61.300000,100.000000,100.000000,61.260000,100.000000,100.000000,100.000000,61.380000,62.070000,61.800000,62.150,100.000000,61.960000,100.000000,61.800000,100.000000
9,05/23/22 02:20:00 AM,61.550,61.650000,100.000000,61.340000,100.000000,100.000000,61.150000,100.000000,100.000000,100.000000,61.300000,61.960000,70.600000,62.020,100.000000,61.760000,100.000000,61.720000,100.000000
10,05/23/22 02:25:00 AM,61.630,61.530000,100.000000,61.220000,100.000000,100.000000,61.070000,100.000000,100.000000,100.000000,61.340000,61.880000,78.200000,61.980,100.000000,61.760000,100.000000,61.650000,100.000000
11,05/23/22 02:30:00 AM,61.680,61.530000,100.000000,61.220000,100.000000,100.000000,61.260000,100.000000,100.000000,100.000000,61.380000,61.920000,100.000000,62.150,100.000000,61.840000,100.000000,61.610000,100.000000
12,05/23/22 02:35:00 AM,61.720,61.530000,98.800000,61.220000,100.000000,100.000000,61.260000,100.000000,100.000000,100.000000,61.420000,61.920000,62.900000,62.060,100.000000,61.840000,88.800000,61.570000,100.000000
13,05/23/22 02:40:00 AM,61.590,61.450000,97.100000,61.180000,78.200000,100.000000,61.260000,100.000000,100.000000,100.000000,61.260000,61.720000,48.800000,61.930,100.000000,61.690000,84.700000,61.450000,100.000000
14,05/23/22 02:45:00 AM,61.460,61.300000,91.800000,61.150000,74.700000,100.000000,61.110000,100.000000,77.100000,100.000000,61.030000,61.530000,35.300000,61.890,100.000000,61.530000,74.700000,61.220000,100.000000
