date,temp,wetness,rain
05/01/22 12:00:00 AM,51.85,4.1,0
05/01/22 12:05:00 AM,51.72,4.1,0
05/01/22 12:10:00 AM,51.72,3.5,0
05/01/22 12:15:00 AM,51.9,3.5,0
05/01/22 12:20:00 AM,51.41,4.1,0
05/01/22 12:25:00 AM,51.46,3.5,0
05/01/22 12:30:00 AM,51.85,3.5,0
05/01/22 12:35:00 AM,50.66,3.5,0
05/01/22 12:40:00 AM,50.27,3.5,0
05/01/22 12:45:00 AM,50.58,3.5,0
05/01/22 12:50:00 AM,50.31,3.5,0
05/01/22 12:55:00 AM,50.8,4.1,0
05/01/22 01:00:00 AM,50.97,3.5,0
05/01/22 01:05:00 AM,50.89,3.5,0
05/01/22 01:10:00 AM,50.75,4.1,0
05/01/22 01:15:00 AM,51.24,3.5,0
05/01/22 01:20:00 AM,51.33,3.5,0
05/01/22 01:25:00 AM,51.02,3.5,0
05/01/22 01:30:00 AM,50.66,3.5,0
05/01/22 01:35:00 AM,50.8,3.5,0
05/01/22 01:40:00 AM,51.02,3.5,0
05/01/22 01:45:00 AM,50.62,3.5,0
05/01/22 01:50:00 AM,50.89,3.5,0
05/01/22 01:55:00 AM,50.66,4.1,0
05/01/22 02:00:00 AM,50.66,3.5,0
05/01/22 02:05:00 AM,50.62,3.5,0
05/01/22 02:10:00 AM,50.27,4.1,0
05/01/22 02:15:00 AM,50.05,3.5,0
05/01/22 02:20:00 AM,49.47,3.5,0
05/01/22 02:25:00 AM,49.47,3.5,0
05/01/22 02:30:00 AM,49.6,3.5,0
05/01/22 02:35:00 AM,49.16,3.5,0
05/01/22 02:40:00 AM,49.47,4.1,0
05/01/22 02:45:00 AM,48.98,4.1,0
05/01/22 02:50:00 AM,48.72,3.5,0
05/01/22 02:55:00 AM,48.18,3.5,0
05/01/22 03:00:00 AM,47.15,3.5,0
05/01/22 03:05:00 AM,45.58,3.5,0
05/01/22 03:10:00 AM,45.35,3.5,0
05/01/22 03:15:00 AM,45.81,3.5,0
05/01/22 03:20:00 AM,46.08,3.5,0
05/01/22 03:25:00 AM,45.94,3.5,0
05/01/22 03:30:00 AM,45.9,3.5,0
05/01/22 03:35:00 AM,45.76,3.5,0
05/01/22 03:40:00 AM,46.21,3.5,0
05/01/22 03:45:00 AM,46.98,3.5,0
05/01/22 03:50:00 AM,46.39,3.5,0
05/01/22 03:55:00 AM,46.48,3.5,0
05/01/22 04:00:00 AM,46.48,3.5,0
05/01/22 04:05:00 AM,46.39,3.5,0
05/01/22 04:10:00 AM,46.84,3.5,0
05/01/22 04:15:00 AM,46.62,3.5,0
05/01/22 04:20:00 AM,46.35,3.5,0
05/01/22 04:25:00 AM,45.76,3.5,0
05/01/22 04:30:00 AM,44.81,3.5,0
05/01/22 04:35:00 AM,43.85,3.5,0
05/01/22 04:40:00 AM,43.53,3.5,0
05/01/22 04:45:00 AM,44.26,3.5,0
05/01/22 04:50:00 AM,44.45,3.5,0
05/01/22 04:55:00 AM,44.17,3.5,0
05/01/22 05:00:00 AM,44.17,3.5,0
05/01/22 05:05:00 AM,44.58,3.5,0
05/01/22 05:10:00 AM,44.95,4.1,0
05/01/22 05:15:00 AM,45.35,3.5,0
05/01/22 05:20:00 AM,44.81,4.1,0
05/01/22 05:25:00 AM,45.17,3.5,0
05/01/22 05:30:00 AM,44.67,4.1,0
05/01/22 05:35:00 AM,44.81,4.1,0
05/01/22 05:40:00 AM,44.76,4.1,0
05/01/22 05:45:00 AM,45.22,3.5,0
05/01/22 05:50:00 AM,44.99,3.5,0
05/01/22 05:55:00 AM,44.08,3.5,0
05/01/22 06:00:00 AM,43.21,3.5,0
05/01/22 06:05:00 AM,42.66,4.1,0
05/01/22 06:10:00 AM,42.71,3.5,0
05/01/22 06:15:00 AM,43.4,3.5,0
05/01/22 06:20:00 AM,43.4,4.1,0
05/01/22 06:25:00 AM,43.85,4.1,0
05/01/22 06:30:00 AM,43.94,4.1,0
05/01/22 06:35:00 AM,43.67,4.1,0
05/01/22 06:40:00 AM,43.72,4.1,0
05/01/22 06:45:00 AM,43.76,4.1,0
05/01/22 06:50:00 AM,43.76,4.1,0
05/01/22 06:55:00 AM,43.58,4.1,0
05/01/22 07:00:00 AM,43.67,4.1,0
05/01/22 07:05:00 AM,43.58,3.5,0
05/01/22 07:10:00 AM,43.26,4.1,0
05/01/22 07:15:00 AM,42.89,4.1,0
05/01/22 07:20:00 AM,42.34,4.1,0
05/01/22 07:25:00 AM,42.48,4.1,0
05/01/22 07:30:00 AM,42.48,4.1,0
05/01/22 07:35:00 AM,42.06,4.1,0
05/01/22 07:40:00 AM,42.29,4.1,0
05/01/22 07:45:00 AM,42.71,4.1,0
05/01/22 07:50:00 AM,42.89,4.1,0
05/01/22 07:55:00 AM,42.89,4.1,0
05/01/22 08:00:00 AM,42.94,4.1,0
